entity_kind,param,from_version,to_version,n_entities,n_changed,mean_abs_delta,p90_abs_delta,max_abs_delta
species,cooperation_propensity,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,cooperation_propensity,0.3.1,0.4.0,20,20,0.087007,0.202087,0.243929
species,cooperation_propensity,0.4.0,0.4.0,43,43,0.115793,0.219023,0.297063
species,cooperation_propensity,0.4.0,0.5.0,97,96,0.000574,0.000661,0.012124
species,effort_price_elasticity,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,effort_price_elasticity,0.3.1,0.4.0,20,20,0.073123,0.166581,0.172234
species,effort_price_elasticity,0.4.0,0.4.0,43,43,0.063482,0.123048,0.212782
species,effort_price_elasticity,0.4.0,0.5.0,97,95,0.000451,0.000405,0.01122
species,inequity_sensitivity,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,inequity_sensitivity,0.3.1,0.4.0,20,20,0.050563,0.088837,0.105008
species,inequity_sensitivity,0.4.0,0.4.0,43,43,0.076154,0.131521,0.197559
species,inequity_sensitivity,0.4.0,0.5.0,97,95,0.000385,0.000335,0.014214
species,punishment_propensity,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,punishment_propensity,0.3.1,0.4.0,20,20,0.044048,0.083944,0.099605
species,punishment_propensity,0.4.0,0.4.0,43,43,0.070963,0.122626,0.18742
species,punishment_propensity,0.4.0,0.5.0,97,96,0.000566,0.000539,0.01852
species,risk_preference,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,risk_preference,0.3.1,0.4.0,20,20,0.040253,0.074267,0.099164
species,risk_preference,0.4.0,0.4.0,43,43,0.066486,0.1018,0.191219
species,risk_preference,0.4.0,0.5.0,97,97,0.001471,0.006712,0.011074
species,temporal_discount_rate,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,temporal_discount_rate,0.3.1,0.4.0,20,20,0.023304,0.052459,0.106203
species,temporal_discount_rate,0.4.0,0.4.0,43,43,0.064286,0.133049,0.176998
species,temporal_discount_rate,0.4.0,0.5.0,97,95,0.000862,0.0031,0.014702
species,tokenization_capacity,0.3.0,0.3.1,20,0,0.0,0.0,0.0
species,tokenization_capacity,0.3.1,0.4.0,20,20,0.03932,0.059994,0.07496
species,tokenization_capacity,0.4.0,0.4.0,43,43,0.061748,0.124162,0.213815
species,tokenization_capacity,0.4.0,0.5.0,97,96,0.000631,0.000569,0.022253
taxon,cooperation_propensity,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,cooperation_propensity,0.3.1,0.4.0,38,38,0.07875,0.158718,0.239994
taxon,cooperation_propensity,0.4.0,0.4.0,70,70,0.096847,0.187764,0.293796
taxon,cooperation_propensity,0.4.0,0.5.0,121,119,0.000942,0.001987,0.015815
taxon,effort_price_elasticity,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,effort_price_elasticity,0.3.1,0.4.0,38,38,0.065313,0.157364,0.172234
taxon,effort_price_elasticity,0.4.0,0.4.0,70,70,0.068346,0.123473,0.221877
taxon,effort_price_elasticity,0.4.0,0.5.0,121,119,0.000864,0.001182,0.024784
taxon,inequity_sensitivity,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,inequity_sensitivity,0.3.1,0.4.0,38,38,0.045221,0.077975,0.104521
taxon,inequity_sensitivity,0.4.0,0.4.0,70,70,0.068135,0.14236,0.197559
taxon,inequity_sensitivity,0.4.0,0.5.0,121,119,0.000636,0.00161,0.014516
taxon,punishment_propensity,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,punishment_propensity,0.3.1,0.4.0,38,38,0.043652,0.082037,0.097175
taxon,punishment_propensity,0.4.0,0.4.0,70,70,0.068581,0.122626,0.18742
taxon,punishment_propensity,0.4.0,0.5.0,121,117,0.000891,0.002126,0.018976
taxon,risk_preference,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,risk_preference,0.3.1,0.4.0,38,38,0.042966,0.074827,0.095319
taxon,risk_preference,0.4.0,0.4.0,70,70,0.061788,0.103742,0.191219
taxon,risk_preference,0.4.0,0.5.0,121,121,0.001681,0.006753,0.017912
taxon,temporal_discount_rate,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,temporal_discount_rate,0.3.1,0.4.0,38,38,0.025881,0.054296,0.110584
taxon,temporal_discount_rate,0.4.0,0.4.0,70,70,0.066123,0.138566,0.176998
taxon,temporal_discount_rate,0.4.0,0.5.0,121,118,0.001167,0.003571,0.015825
taxon,tokenization_capacity,0.3.0,0.3.1,38,0,0.0,0.0,0.0
taxon,tokenization_capacity,0.3.1,0.4.0,38,38,0.038383,0.059696,0.081335
taxon,tokenization_capacity,0.4.0,0.4.0,70,70,0.060853,0.127649,0.213815
taxon,tokenization_capacity,0.4.0,0.5.0,121,121,0.001033,0.002244,0.021769
