species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
Acheta domesticus,House cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,false,assistant_curated_candidate_bank_v2,0.879,family,Gryllidae,1.156986,0.925859,-1.100879,0.462353,0.525559,0.452143,0.436553,0.90445,0.673323,-1.353415,0.209817,0.273023,0.199607,0.184017,1.409522,1.178395,-0.848343,0.714889,0.778095,0.704679,0.689089,0.128845,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,false,assistant_curated_candidate_bank_v2,0.956,family,Culicidae,1.270452,0.998167,-1.217659,0.302428,0.39821,0.333174,0.328976,1.037312,0.765027,-1.450799,0.069288,0.16507,0.100034,0.095836,1.503592,1.231307,-0.984519,0.535568,0.63135,0.566314,0.562116,0.118949,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Amphiprion ocellaris,False clownfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,false,assistant_curated_candidate_bank_v2,0.956,family,Pomacentridae,0.91449,0.638237,-0.929793,0.684211,0.619742,0.538862,0.52521,0.575845,0.299592,-1.268438,0.345566,0.281097,0.200217,0.186565,1.253135,0.976882,-0.591148,1.0,0.958387,0.877507,0.863855,0.172778,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Anas platyrhynchos,Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,false,curated_candidate_bank_v1,0.879,family,Anatidae,1.025303,0.457591,-1.066646,0.620627,0.639171,0.538083,0.75279,0.725893,0.158181,-1.366056,0.321217,0.339761,0.238673,0.45338,1.324713,0.757001,-0.767236,0.920037,0.938581,0.837493,1.0,0.15276,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Anopheles gambiae,African malaria mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,false,assistant_curated_candidate_bank_v2,0.956,family,Culicidae,1.270452,0.998167,-1.217659,0.302428,0.39821,0.333174,0.328976,1.037312,0.765027,-1.450799,0.069288,0.16507,0.100034,0.095836,1.503592,1.231307,-0.984519,0.535568,0.63135,0.566314,0.562116,0.118949,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,true,seed_species,0.956,family,Apidae,0.924264,0.754577,-0.519019,0.794444,0.703005,0.586991,0.608571,0.653966,0.484279,-0.789317,0.524146,0.432707,0.316693,0.338273,1.194562,1.024875,-0.248721,1.0,0.973303,0.857289,0.878869,0.137907,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Aptenodytes forsteri,Emperor penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,false,assistant_curated_candidate_bank_v2,0.956,family,Spheniscidae,0.829727,0.380778,-0.899567,0.789762,0.737636,0.650892,0.866796,0.602006,0.153057,-1.127288,0.562041,0.509915,0.423171,0.639075,1.057448,0.608499,-0.671846,1.0,0.965357,0.878613,1.0,0.116184,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Astatotilapia burtoni,Burton's mouthbrooder,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Astatotilapia,false,assistant_curated_candidate_bank_v2,0.956,family,Cichlidae,0.92354,0.641894,-0.893595,0.643693,0.616479,0.531609,0.512058,0.699669,0.418023,-1.117466,0.419822,0.392608,0.307738,0.288187,1.147411,0.865765,-0.669724,0.867564,0.84035,0.75548,0.735929,0.11422,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,true,seed_species,0.879,family,Formicidae,0.896874,0.867832,-0.354791,0.862672,0.759023,0.642692,0.657938,0.682013,0.652971,-0.569652,0.647811,0.544162,0.427831,0.443077,1.111735,1.082693,-0.13993,1.0,0.973884,0.857553,0.872799,0.109623,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Betta splendens,Siamese fighting fish,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,false,assistant_curated_candidate_bank_v2,0.956,family,Osphronemidae,1.105609,0.686,-1.251603,0.407189,0.495934,0.395115,0.377157,0.773732,0.354123,-1.58348,0.075312,0.164057,0.063238,0.04528,1.437486,1.017877,-0.919726,0.739066,0.827811,0.726992,0.709034,0.169325,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
