dataset_version,generated_at,species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,row_confidence_score,provenance_type,source_model,bayes_method,bayes_engine,bayes_hyper_sds,calibration_applied,calibration_refs
0.4.0,2026-03-19T17:00:37Z,Acheta domesticus,House cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,false,assistant_curated_candidate_bank_v2,0.879,1.156878,0.925031,-1.105472,0.464690,0.52438,0.452512,0.437568,1.034374,0.822842,-1.211494,0.341324,0.423011,0.350944,0.335902,1.279382,1.027219,-0.99945,0.588057,0.625749,0.55408,0.539235,0.070916,0.804812,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.4.0,2026-03-19T17:00:37Z,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,false,assistant_curated_candidate_bank_v2,0.956,1.262950,0.991815,-1.213373,0.305940,0.404172,0.338633,0.333743,1.155180,0.907382,-1.298735,0.198702,0.319949,0.254358,0.249443,1.370721,1.076249,-1.128012,0.413178,0.488395,0.422907,0.418042,0.064315,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.4.0,2026-03-19T17:00:37Z,Amphiprion ocellaris,False clownfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,false,assistant_curated_candidate_bank_v2,0.956,0.914490,0.638237,-0.929793,0.684211,0.619742,0.538862,0.52521,0.743670,0.475838,-1.101058,0.520611,0.471765,0.390019,0.375952,1.085309,0.800636,-0.758528,0.847811,0.767719,0.687704,0.674469,0.092778,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.4.0,2026-03-19T17:00:37Z,Anas platyrhynchos,Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,false,curated_candidate_bank_v1,0.879,1.025303,0.457591,-1.066646,0.620627,0.639171,0.538083,0.75279,0.896195,0.351022,-1.178516,0.495378,0.53371,0.432354,0.646926,1.154412,0.56416,-0.954776,0.745875,0.744633,0.643812,0.858654,0.072760,0.809187,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.4.0,2026-03-19T17:00:37Z,Anopheles gambiae,African malaria mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,false,assistant_curated_candidate_bank_v2,0.956,1.274796,1.001846,-1.220141,0.300394,0.394757,0.330013,0.326215,1.204552,0.980178,-1.241824,0.231558,0.373093,0.308348,0.304549,1.345041,1.023514,-1.198457,0.369230,0.416422,0.351679,0.34788,0.048944,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.4.0,2026-03-19T17:00:37Z,Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,true,seed_species,0.956,0.915785,0.748602,-0.512471,0.803239,0.712493,0.596794,0.617838,0.791089,0.64394,-0.622085,0.677172,0.60887,0.485682,0.513839,1.040482,0.853263,-0.402858,0.929307,0.816116,0.707907,0.721838,0.074698,0.929875,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.4.0,2026-03-19T17:00:37Z,Aptenodytes forsteri,Emperor penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,false,assistant_curated_candidate_bank_v2,0.956,0.827376,0.376362,-0.898759,0.792779,0.739186,0.65229,0.8679,0.740420,0.327484,-0.947749,0.715343,0.690334,0.603431,0.819039,0.914332,0.42524,-0.849768,0.870214,0.788038,0.701148,0.916762,0.053903,0.92175,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.4.0,2026-03-19T17:00:37Z,Astatotilapia burtoni,Burton's mouthbrooder,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Astatotilapia,false,assistant_curated_candidate_bank_v2,0.956,0.926033,0.645700,-0.897911,0.659934,0.636395,0.548496,0.529453,0.830149,0.561639,-0.958883,0.599101,0.575916,0.487995,0.468941,1.021916,0.729761,-0.836939,0.720767,0.696874,0.608998,0.589965,0.057255,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.4.0,2026-03-19T17:00:37Z,Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,true,seed_species,0.879,0.894982,0.862525,-0.356196,0.862004,0.758167,0.641813,0.658118,0.802683,0.798885,-0.420091,0.770681,0.694585,0.566977,0.594515,0.987282,0.926166,-0.2923,0.953328,0.821749,0.716650,0.721722,0.061107,0.817312,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.4.0,2026-03-19T17:00:37Z,Betta splendens,Siamese fighting fish,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,false,assistant_curated_candidate_bank_v2,0.956,1.105609,0.686000,-1.251603,0.407189,0.495934,0.395115,0.377157,0.941639,0.530395,-1.412249,0.252831,0.354731,0.253171,0.234858,1.269578,0.841605,-1.090957,0.561548,0.637137,0.537058,0.519456,0.089325,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.122/0.137/0.030;temporal_discount_rate:0.216/0.130/0.030;effort_price_elasticity:0.192/0.264/0.030;cooperation_propensity:0.148/0.184/0.030;inequity_sensitivity:0.116/0.119/0.030;punishment_propensity:0.101/0.122/0.030;tokenization_capacity:0.209/0.123/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
