species,common_name,kingdom,phylum,class,order,family,genus,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model
Pan troglodytes,Chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,family,Hominidae,0.898788,0.440715,-0.72498,0.812224,0.78708,0.662934,0.841152,0.595601,0.137528,-1.028167,0.509037,0.483893,0.359747,0.537965,1.201975,0.743902,-0.421793,1.0,1.0,0.966121,1.0,0.154687,inherited_taxonomy,taxon_aggregate_v0
Bonobo paniscus,Bonobo,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,family,Hominidae,0.898788,0.440715,-0.72498,0.812224,0.78708,0.662934,0.841152,0.595601,0.137528,-1.028167,0.509037,0.483893,0.359747,0.537965,1.201975,0.743902,-0.421793,1.0,1.0,0.966121,1.0,0.154687,inherited_taxonomy,taxon_aggregate_v0
Macaca mulatta,Rhesus macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,family,Cercopithecidae,0.922205,0.464781,-0.752091,0.781611,0.765324,0.641908,0.821992,0.439972,0.0,-1.234324,0.299378,0.283091,0.159675,0.339759,1.404438,0.947014,-0.269858,1.0,1.0,1.0,1.0,0.246037,inherited_taxonomy,taxon_aggregate_v0
Sapajus apella,Tufted capuchin,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,family,Cebidae,0.941641,0.476824,-0.764364,0.766556,0.754966,0.631982,0.812992,0.347963,0.0,-1.358042,0.172878,0.161288,0.038304,0.219314,1.535319,1.070502,-0.170686,1.0,1.0,1.0,1.0,0.302897,inherited_taxonomy,taxon_aggregate_v0
Rattus norvegicus,Norway rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,family,Muridae,1.013353,0.640149,-1.02344,0.645973,0.638729,0.550304,0.754427,0.701789,0.328585,-1.335004,0.334409,0.327165,0.23874,0.442863,1.324917,0.951713,-0.711876,0.957537,0.950293,0.861868,1.0,0.158961,inherited_taxonomy,taxon_aggregate_v0
Mus musculus,House mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,family,Muridae,1.013353,0.640149,-1.02344,0.645973,0.638729,0.550304,0.754427,0.701789,0.328585,-1.335004,0.334409,0.327165,0.23874,0.442863,1.324917,0.951713,-0.711876,0.957537,0.950293,0.861868,1.0,0.158961,inherited_taxonomy,taxon_aggregate_v0
Corvus corax,Common raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,family,Corvidae,0.989793,0.489155,-0.793112,0.733846,0.726054,0.609668,0.79557,0.606823,0.106185,-1.176082,0.350876,0.343084,0.226698,0.4126,1.372763,0.872125,-0.410142,1.0,1.0,0.992638,1.0,0.195393,inherited_taxonomy,taxon_aggregate_v0
Corvus moneduloides,New Caledonian crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,family,Corvidae,0.989793,0.489155,-0.793112,0.733846,0.726054,0.609668,0.79557,0.606823,0.106185,-1.176082,0.350876,0.343084,0.226698,0.4126,1.372763,0.872125,-0.410142,1.0,1.0,0.992638,1.0,0.195393,inherited_taxonomy,taxon_aggregate_v0
Nestor notabilis,Kea,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Nestor,family,Strigopidae,0.960049,0.482557,-0.787006,0.75699,0.733504,0.624047,0.812387,0.369109,0.0,-1.377946,0.16605,0.142564,0.033107,0.221447,1.550989,1.073497,-0.196066,1.0,1.0,1.0,1.0,0.3015,inherited_taxonomy,taxon_aggregate_v0
Columba livia,Rock pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,family,Columbidae,1.008916,0.498023,-0.99784,0.66533,0.649604,0.563183,0.767387,0.543718,0.032825,-1.463038,0.200132,0.184406,0.097985,0.302189,1.474114,0.963221,-0.532642,1.0,1.0,1.0,1.0,0.237346,inherited_taxonomy,taxon_aggregate_v0
Danio rerio,Zebrafish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,family,Cyprinidae,1.113065,0.666336,-1.025131,0.534405,0.559101,0.469426,0.4787,0.676389,0.22966,-1.461807,0.097729,0.122425,0.03275,0.042024,1.549741,1.103012,-0.588455,0.971081,0.995777,0.906102,0.915376,0.222794,inherited_taxonomy,taxon_aggregate_v0
Poecilia reticulata,Guppy,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,family,Poeciliidae,1.096986,0.68662,-0.977804,0.559316,0.569473,0.484081,0.49445,0.658673,0.248307,-1.416117,0.121003,0.13116,0.045768,0.056137,1.535299,1.124933,-0.539491,0.997629,1.0,0.922394,0.932763,0.223629,inherited_taxonomy,taxon_aggregate_v0
Gasterosteus aculeatus,Three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,family,Gasterosteidae,1.087573,0.64087,-1.016298,0.553319,0.574001,0.482516,0.48995,0.46629,0.019587,-1.637581,0.0,0.0,0.0,0.0,1.708856,1.262153,-0.395015,1.0,1.0,1.0,1.0,0.316981,inherited_taxonomy,taxon_aggregate_v0
Octopus vulgaris,Common octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,family,Octopodidae,1.135511,0.600627,-1.345703,0.442671,0.539658,0.424382,0.624075,0.482686,0.0,-1.998528,0.0,0.0,0.0,0.0,1.788336,1.253452,-0.692878,1.0,1.0,1.0,1.0,0.333074,inherited_taxonomy,taxon_aggregate_v0
Sepia officinalis,Common cuttlefish,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,family,Sepiidae,1.119642,0.557401,-1.312813,0.460816,0.547341,0.434947,0.635325,0.521936,0.0,-1.910519,0.0,0.0,0.0,0.037619,1.717348,1.155107,-0.715107,1.0,1.0,1.0,1.0,0.304952,inherited_taxonomy,taxon_aggregate_v0
Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,family,Apidae,0.932434,0.718064,-0.626031,0.774199,0.695809,0.618699,0.623595,0.59924,0.38487,-0.959225,0.441005,0.362615,0.285505,0.290401,1.265628,1.051258,-0.292837,1.0,1.0,0.951893,0.956789,0.169997,inherited_taxonomy,taxon_aggregate_v0
Bombus terrestris,Buff-tailed bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,family,Apidae,0.932434,0.718064,-0.626031,0.774199,0.695809,0.618699,0.623595,0.59924,0.38487,-0.959225,0.441005,0.362615,0.285505,0.290401,1.265628,1.051258,-0.292837,1.0,1.0,0.951893,0.956789,0.169997,inherited_taxonomy,taxon_aggregate_v0
Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,family,Formicidae,0.905297,0.739598,-0.564905,0.80887,0.711271,0.639279,0.645262,0.242997,0.077298,-1.227205,0.14657,0.048971,0.0,0.0,1.567597,1.401898,0.097395,1.0,1.0,1.0,1.0,0.337908,inherited_taxonomy,taxon_aggregate_v0
Drosophila melanogaster,Fruit fly,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,family,Drosophilidae,1.118083,0.78794,-0.910891,0.535347,0.548307,0.462541,0.474262,0.641638,0.311495,-1.387336,0.058902,0.071862,0.0,0.0,1.594528,1.264385,-0.434446,1.0,1.0,0.938986,0.950707,0.243084,inherited_taxonomy,taxon_aggregate_v0
Procambarus clarkii,Red swamp crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,family,Cambaridae,1.110949,0.748908,-1.166723,0.488074,0.553219,0.445667,0.4877,0.49185,0.129809,-1.785822,0.0,0.0,0.0,0.0,1.730048,1.368007,-0.547624,1.0,1.0,1.0,1.0,0.315867,inherited_taxonomy,taxon_aggregate_v0
