dataset_version,generated_at,species,common_name,kingdom,phylum,class,order,family,genus,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model
0.1.0,2026-03-17T20:12:09Z,Pan troglodytes,Chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,0.900455,0.440479,-0.726854,0.810914,0.786418,0.662153,0.840367,0.688473,0.228497,-0.938836,0.598932,0.574437,0.450171,0.628385,1.112436,0.652461,-0.514873,1.0,0.9984,0.874135,1.0,0.108154,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Bonobo paniscus,Bonobo,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,0.897268,0.440931,-0.723272,0.813419,0.787684,0.663646,0.841867,0.694874,0.238538,-0.925665,0.611025,0.58529,0.461252,0.639473,1.099661,0.643325,-0.520878,1.0,0.990077,0.866039,1.0,0.103262,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Macaca mulatta,Rhesus macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,0.922205,0.464781,-0.752091,0.781611,0.765324,0.641908,0.821992,0.596773,0.139348,-1.077523,0.456178,0.439892,0.316475,0.496559,1.247638,0.790213,-0.426658,1.0,1.0,0.96734,1.0,0.166037,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Sapajus apella,Tufted capuchin,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,0.941641,0.476824,-0.764364,0.766556,0.754966,0.631982,0.812992,0.504763,0.039946,-1.201242,0.329678,0.318088,0.195104,0.376114,1.378519,0.913702,-0.327486,1.0,1.0,1.0,1.0,0.222897,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Rattus norvegicus,Norway rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,1.01091,0.635802,-1.022715,0.648515,0.640952,0.552177,0.755992,0.787172,0.412064,-1.246453,0.424777,0.417214,0.328439,0.532254,1.234648,0.85954,-0.798977,0.872253,0.86469,0.775915,0.97973,0.114152,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Mus musculus,House mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,1.015594,0.644137,-1.024106,0.64364,0.636689,0.548585,0.752992,0.80129,0.429833,-1.23841,0.429336,0.422384,0.334281,0.538687,1.229899,0.858442,-0.809801,0.857945,0.850993,0.762889,0.967296,0.109339,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Corvus corax,Common raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,0.988907,0.487086,-0.79565,0.734494,0.726142,0.610183,0.796262,0.680787,0.178967,-1.10377,0.426374,0.418022,0.302063,0.488143,1.297026,0.795206,-0.48753,1.0,1.0,0.918303,1.0,0.157204,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Corvus moneduloides,New Caledonian crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,0.990828,0.491572,-0.790146,0.73309,0.725951,0.609067,0.794762,0.657793,0.158537,-1.123182,0.400055,0.392915,0.276031,0.461727,1.323863,0.824607,-0.457111,1.0,1.0,0.942102,1.0,0.169916,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Nestor notabilis,Kea,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Nestor,0.960049,0.482557,-0.787006,0.75699,0.733504,0.624047,0.812387,0.525909,0.048417,-1.221146,0.32285,0.299364,0.189907,0.378247,1.394189,0.916697,-0.352866,1.0,1.0,1.0,1.0,0.2215,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Columba livia,Rock pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,1.008916,0.498023,-0.99784,0.66533,0.649604,0.563183,0.767387,0.700518,0.189625,-1.306238,0.356932,0.341206,0.254785,0.458989,1.317314,0.806421,-0.689442,0.973729,0.958002,0.871581,1.0,0.157346,imputed_trait,deterministic_heuristic_v0
