species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
Anas platyrhynchos,Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,false,curated_candidate_bank_v1,0.879,family,Anatidae,0.998629,0.490508,-1.026496,0.628712,0.64774,0.562193,0.741898,0.638871,0.13075,-1.386254,0.268954,0.287982,0.202435,0.38214,1.358387,0.850266,-0.666738,0.98847,1.0,0.921951,1.0,0.18355,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,true,seed_species,0.956,family,Apidae,1.010343,0.77236,-0.573908,0.564396,0.636432,0.533667,0.563899,0.72274,0.484757,-0.861511,0.276793,0.348829,0.246064,0.276296,1.297946,1.059963,-0.286305,0.851999,0.924035,0.82127,0.851502,0.146736,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,true,seed_species,0.879,family,Formicidae,1.000616,0.850182,-0.444151,0.568876,0.644636,0.542104,0.57271,0.741359,0.590925,-0.703408,0.309619,0.385379,0.282847,0.313453,1.259873,1.109439,-0.184894,0.828133,0.903893,0.801361,0.831967,0.132274,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Blattella germanica,German cockroach,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Blattella,false,curated_candidate_bank_v1,0.879,family,Ectobiidae,1.063202,0.849515,-1.092823,0.522496,0.604697,0.541144,0.537139,0.698146,0.484459,-1.457879,0.15744,0.239641,0.176088,0.172083,1.428258,1.214571,-0.727767,0.887552,0.969753,0.9062,0.902195,0.186253,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Bombus terrestris,Buff-tailed bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,true,seed_species,0.879,family,Apidae,1.010343,0.77236,-0.573908,0.564396,0.636432,0.533667,0.563899,0.72274,0.484757,-0.861511,0.276793,0.348829,0.246064,0.276296,1.297946,1.059963,-0.286305,0.851999,0.924035,0.82127,0.851502,0.146736,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Bonobo paniscus,Bonobo,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,true,seed_species,0.956,family,Hominidae,0.910928,0.452092,-0.620329,0.681234,0.682559,0.633614,0.781957,0.619492,0.160656,-0.911765,0.389798,0.391123,0.342178,0.490521,1.202364,0.743528,-0.328893,0.97267,0.973995,0.92505,1.0,0.148692,inherited_taxonomy,taxon_aggregate_v1,true,hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Camponotus pennsylvanicus,Carpenter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,false,curated_candidate_bank_v1,0.956,family,Formicidae,1.000616,0.850182,-0.444151,0.568876,0.644636,0.542104,0.57271,0.741359,0.590925,-0.703408,0.309619,0.385379,0.282847,0.313453,1.259873,1.109439,-0.184894,0.828133,0.903893,0.801361,0.831967,0.132274,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Canis lupus,Gray wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,false,curated_candidate_bank_v1,0.956,family,Canidae,0.933597,0.489288,-0.777009,0.687222,0.678646,0.600031,0.760593,0.595117,0.150808,-1.115489,0.348742,0.340166,0.261551,0.422113,1.272077,0.827768,-0.438529,1.0,1.0,0.938511,1.0,0.172694,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Carassius auratus,Goldfish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,false,curated_candidate_bank_v1,0.879,family,Cyprinidae,1.038224,0.652178,-1.148289,0.521048,0.577811,0.485194,0.446166,0.753477,0.367431,-1.433036,0.236301,0.293064,0.200447,0.161419,1.322971,0.936925,-0.863542,0.805795,0.862558,0.769941,0.730913,0.145279,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Columba livia,Rock pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,true,seed_species,0.956,family,Columbidae,1.003243,0.492998,-1.124385,0.629857,0.640546,0.559394,0.74419,0.66694,0.156695,-1.460688,0.293554,0.304243,0.223091,0.407887,1.339546,0.829301,-0.788082,0.96616,0.976849,0.895697,1.0,0.171583,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
