dataset_version,generated_at,species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,row_confidence_score,provenance_type,source_model,bayes_method,bayes_engine,bayes_hyper_sds,calibration_applied,calibration_refs
0.5.0,2026-03-19T16:39:53Z,Acheta domesticus,House cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,false,assistant_curated_candidate_bank_v2,0.879,1.156559,0.925125,-1.105326,0.464751,0.524413,0.452599,0.437643,1.034181,0.822891,-1.211329,0.341419,0.423063,0.351092,0.336045,1.278938,1.027359,-0.999323,0.588083,0.625762,0.554105,0.539242,0.070898,0.804812,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:53Z,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,false,assistant_curated_candidate_bank_v2,0.956,1.262611,0.991895,-1.213289,0.306018,0.404215,0.338757,0.333861,1.154870,0.90745,-1.298646,0.198788,0.319997,0.254499,0.249578,1.370352,1.076339,-1.127932,0.413249,0.488433,0.423016,0.418143,0.064310,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:53Z,Amphiprion ocellaris,False clownfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,false,assistant_curated_candidate_bank_v2,0.956,0.914204,0.639632,-0.932078,0.680663,0.61756,0.535569,0.521714,0.743863,0.476869,-1.10328,0.51718,0.469474,0.386816,0.372549,1.084545,0.802394,-0.760876,0.844146,0.765647,0.684321,0.670878,0.092753,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:53Z,Anas platyrhynchos,Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,false,curated_candidate_bank_v1,0.879,1.025041,0.457582,-1.066556,0.620660,0.639222,0.53818,0.75287,0.896101,0.350952,-1.178399,0.495461,0.533786,0.432534,0.647098,1.153981,0.564212,-0.954714,0.745858,0.744658,0.643825,0.858643,0.072736,0.809187,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:53Z,Anopheles gambiae,African malaria mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,false,assistant_curated_candidate_bank_v2,0.956,1.274757,1.001852,-1.220135,0.300371,0.39476,0.330022,0.326223,1.204513,0.980184,-1.241818,0.231535,0.373096,0.308357,0.304557,1.345002,1.02352,-1.198452,0.369207,0.416424,0.351687,0.347888,0.048944,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:53Z,Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,true,seed_species,0.956,0.916435,0.748484,-0.512614,0.802933,0.712429,0.596581,0.617576,0.791900,0.643765,-0.622202,0.676910,0.608829,0.485542,0.513663,1.040971,0.853203,-0.403025,0.928956,0.816028,0.707620,0.72149,0.074677,0.929875,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:53Z,Aptenodytes forsteri,Emperor penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,false,assistant_curated_candidate_bank_v2,0.956,0.827471,0.37635,-0.898759,0.792722,0.739186,0.652278,0.867885,0.740518,0.32747,-0.947749,0.715287,0.690334,0.603422,0.819025,0.914424,0.425229,-0.849769,0.870156,0.788037,0.701134,0.916744,0.053902,0.92175,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:53Z,Astatotilapia burtoni,Burton's mouthbrooder,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Astatotilapia,false,assistant_curated_candidate_bank_v2,0.956,0.919192,0.642515,-0.89809,0.659636,0.63617,0.548157,0.529096,0.823316,0.558447,-0.959061,0.598805,0.575689,0.487658,0.468586,1.015068,0.726582,-0.83712,0.720467,0.696652,0.608656,0.589606,0.057254,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:53Z,Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,true,seed_species,0.879,0.895103,0.862531,-0.356233,0.861914,0.758149,0.641780,0.658054,0.802811,0.798887,-0.420128,0.770593,0.694569,0.566948,0.594455,0.987396,0.926175,-0.292339,0.953235,0.82173,0.716612,0.721652,0.061106,0.817312,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:53Z,Betta splendens,Siamese fighting fish,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,false,assistant_curated_candidate_bank_v2,0.956,1.103306,0.687118,-1.25338,0.404427,0.493784,0.392311,0.374184,0.939737,0.531206,-1.413974,0.250166,0.352487,0.250444,0.231965,1.266875,0.843029,-1.092785,0.558689,0.63508,0.534177,0.516402,0.089304,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.125/0.135/0.030;temporal_discount_rate:0.219/0.130/0.030;effort_price_elasticity:0.196/0.263/0.030;cooperation_propensity:0.149/0.183/0.030;inequity_sensitivity:0.117/0.119/0.030;punishment_propensity:0.102/0.121/0.030;tokenization_capacity:0.210/0.122/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
