dataset_version,generated_at,entity_kind,entity_name,rank,taxon,n_species,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
0.6.0,2026-03-19T19:37:13Z,taxon,Arthropoda,phylum,Arthropoda,90,1.096987,0.822689,-0.926187,0.519188,0.548933,0.454788,0.442677,1.024408,0.75011,-0.998766,0.446609,0.476354,0.382209,0.370098,1.169566,0.895268,-0.853608,0.591767,0.621512,0.527367,0.515256,0.03703,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Chordata,phylum,Chordata,408,0.956252,0.489446,-1.031688,0.619481,0.633798,0.520117,0.660386,0.891148,0.424343,-1.096792,0.554378,0.568694,0.455014,0.595283,1.021355,0.55455,-0.966585,0.684585,0.698901,0.585221,0.72549,0.033216,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019|fish_delay_discounting_review_2020|hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Mollusca,phylum,Mollusca,2,1.140837,0.530623,-1.401375,0.418597,0.523162,0.409161,0.629538,1.062627,0.452413,-1.479585,0.340387,0.444953,0.330952,0.551328,1.219047,0.608832,-1.323166,0.496806,0.601372,0.487371,0.707748,0.039903,imputed_taxonomy,taxon_aggregate_v1,false,
0.6.0,2026-03-19T19:37:13Z,taxon,Actinopterygii,class,Actinopterygii,88,0.981281,0.584862,-1.179163,0.519906,0.567338,0.460722,0.436776,0.910102,0.513683,-1.250341,0.448728,0.496159,0.389544,0.365597,1.05246,0.656041,-1.107984,0.591085,0.638516,0.531901,0.507955,0.036316,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Aves,class,Aves,159,0.951016,0.479969,-0.9391,0.647114,0.644476,0.542817,0.746911,0.882445,0.411399,-1.007671,0.578544,0.575905,0.474246,0.67834,1.019587,0.54854,-0.87053,0.715685,0.713046,0.611387,0.815481,0.034985,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Cephalopoda,class,Cephalopoda,2,1.140837,0.530623,-1.401375,0.418597,0.523162,0.409161,0.629538,1.062627,0.452413,-1.479585,0.340387,0.444953,0.330952,0.551328,1.219047,0.608832,-1.323166,0.496806,0.601372,0.487371,0.707748,0.039903,imputed_taxonomy,taxon_aggregate_v1,false,
0.6.0,2026-03-19T19:37:13Z,taxon,Insecta,class,Insecta,89,1.096479,0.823473,-0.920318,0.520515,0.549205,0.45536,0.442595,1.023768,0.750761,-0.993029,0.447803,0.476494,0.382649,0.369884,1.169191,0.896184,-0.847606,0.593226,0.621917,0.528072,0.515307,0.037098,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Malacostraca,class,Malacostraca,1,1.123241,0.78216,-1.229854,0.45052,0.534843,0.42516,0.446924,0.964375,0.623294,-1.38872,0.291654,0.375977,0.266294,0.288058,1.282107,0.941026,-1.070988,0.609386,0.693709,0.584026,0.60579,0.081054,imputed_taxonomy,taxon_aggregate_v1,false,
0.6.0,2026-03-19T19:37:13Z,taxon,Mammalia,class,Mammalia,161,0.942967,0.425355,-1.032602,0.663607,0.67321,0.538464,0.728091,0.873101,0.35549,-1.102468,0.593742,0.603344,0.468598,0.658225,1.012833,0.495221,-0.962737,0.733473,0.743075,0.608329,0.797956,0.035646,imputed_taxonomy,taxon_aggregate_v1,true,hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Accipitriformes,order,Accipitriformes,6,1.027938,0.405465,-1.214383,0.359878,0.489173,0.357023,0.545102,0.923998,0.301525,-1.318323,0.255938,0.385233,0.253083,0.441162,1.131878,0.509405,-1.110443,0.463817,0.593113,0.460963,0.649042,0.053031,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Anabantiformes,order,Anabantiformes,1,1.098745,0.682933,-1.253018,0.407675,0.501397,0.396866,0.37548,0.865372,0.44956,-1.486391,0.174302,0.268024,0.163493,0.142107,1.332118,0.916306,-1.019645,0.641048,0.73477,0.630239,0.608853,0.119068,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
